Source,Target,sum_appearance,percent,log_ratio,probability
I,I,142,0.054657428791377985,-0.36117361787803426,0.19694868238557559
I,I6,7,0.0026943802925327174,0.8322443195065239,0.009708737864077669
I,I7,6,0.0023094688221709007,0.9965473707978003,0.008321775312066574
I,II,1,0.00038491147036181676,-3.6855838563264194,0.0013869625520110957
I,III,1,0.00038491147036181676,-2.6475961894747444,0.0013869625520110957
I,IM7,7,0.0026943802925327174,1.1506980506250586,0.009708737864077669
I,IV,156,0.06004618937644342,0.28671327145284037,0.21636615811373092
I,IV6,2,0.0007698229407236335,1.284229443249581,0.0027739251040221915
I,IV64,54,0.020785219399538105,1.146079104768764,0.07489597780859916
I,V,176,0.06774441878367975,0.36340355621003495,0.24410540915395285
I,V6,19,0.007313317936874519,0.8964639122408178,0.026352288488210817
I,V7,3,0.0011547344110854503,-0.3252084691845191,0.004160887656033287
I,VI7,2,0.0007698229407236335,-0.5875727336520101,0.0027739251040221915
I,ii,33,0.012702078521939953,0.027146813609696875,0.04576976421636616
I,iii,27,0.010392609699769052,0.46919244508059893,0.03744798890429958
I,vi,41,0.01578137028483449,0.38268099311262965,0.056865464632454926
I,vi7,15,0.005773672055427252,0.49577208288531116,0.020804438280166437
I,♭VII,24,0.009237875288683603,0.7987216274678804,0.033287101248266296
I,♯i°7,5,0.001924557351809084,1.284229443249581,0.006934812760055479
I6,IV,11,0.004234026173979984,1.8380873829321795,1.0
I7,II7,1,0.00038491147036181676,4.419723659178731,0.125
I7,IV,7,0.0026943802925327174,1.7045559903076568,0.875
II,I,50,0.01924557351809084,0.22643914910172674,0.35714285714285715
II,II,9,0.003464203233256351,0.14305754016267577,0.06428571428571428
II,V,11,0.004234026173979984,-0.7777683468768709,0.07857142857142857
II,VI,45,0.017321016166281754,2.579174025781244,0.32142857142857145
II,VI7,2,0.0007698229407236335,1.0438440855008655,0.014285714285714285
II,vi,4,0.001539645881447267,-0.31317989331891205,0.02857142857142857
II,vi7,2,0.0007698229407236335,0.11228588149592189,0.014285714285714285
II,vii,5,0.001924557351809084,1.2292473088322284,0.03571428571428571
II,♭II,6,0.0023094688221709007,2.915646262402457,0.04285714285714286
II,♯iv,6,0.0023094688221709007,2.915646262402457,0.04285714285714286
II7,V7,4,0.001539645881447267,5.177409360876247,1.0
III,I7,1,0.00038491147036181676,1.8741923875742956,0.0196078431372549
III,IV,20,0.007698229407236336,0.9019940237618448,0.39215686274509803
III,VII,16,0.006158583525789068,2.8760750497838545,0.3137254901960784
III,i,11,0.004234026173979984,1.4242755168952976,0.21568627450980393
III,vi,3,0.0011547344110854503,0.43712570108098203,0.058823529411764705
III7,vi,1,0.00038491147036181676,3.270339045137198,1.0
IM7,vi,8,0.003079291762894534,3.270339045137198,1.0
IV,I,208,0.0800615858352579,0.5743953439046213,0.49523809523809526
IV,I6,1,0.00038491147036181676,-0.5598078898661911,0.002380952380952381
IV,III7,1,0.00038491147036181676,1.8380873829321793,0.002380952380952381
IV,IV,14,0.005388760585065435,-1.57022746649884,0.03333333333333333
IV,IV7,2,0.0007698229407236335,1.8380873829321793,0.004761904761904762
IV,V,107,0.041185527328714396,0.4196063353163874,0.25476190476190474
IV,VII,2,0.0007698229407236335,-1.318913038217934,0.004761904761904762
IV,i,25,0.00962278675904542,0.12970952264317556,0.05952380952380952
IV,i7,1,0.00038491147036181676,0.7394750942640698,0.002380952380952381
IV,ii,36,0.013856812933025405,0.6680161302819247,0.08571428571428572
IV,iii,4,0.001539645881447267,-0.8864921201212412,0.009523809523809525
IV,vi,16,0.006158583525789068,-0.004444411669298711,0.0380952380952381
IV,♭III,3,0.0011547344110854503,1.8380873829321795,0.007142857142857143
IV6,V7,2,0.0007698229407236335,5.177409360876247,1.0
IV64,I,51,0.019630484988452657,1.0889206909288156,0.8360655737704918
IV64,V,2,0.0007698229407236335,-1.6398375245843868,0.03278688524590164
IV64,iii,7,0.0026943802925327174,1.593361461815368,0.11475409836065574
IV64,vi,1,0.00038491147036181676,-0.8567953399078936,0.01639344262295082
IV7,I,2,0.0007698229407236335,1.284229443249581,1.0
IVM7,vi,2,0.0007698229407236335,3.270339045137198,1.0
V,I,193,0.07428791377983064,0.45560975007676885,0.43863636363636366
V,II,90,0.03464203233256351,1.3241460506550238,0.20454545454545456
V,IM7,1,0.00038491147036181676,-0.28529186177907656,0.0022727272727272726
V,IV,51,0.019630484988452657,-0.3213968664211928,0.1159090909090909
V,IV64,7,0.0026943802925327174,-0.3870745560890188,0.015909090909090907
V,IVM7,2,0.0007698229407236335,1.7941496799007592,0.004545454545454545
V,V,7,0.0026943802925327174,-2.3512500531216256,0.015909090909090907
V,V7,6,0.0023094688221709007,0.8778589480266044,0.013636363636363636
V,VI7,8,0.003079291762894534,1.3086418641190585,0.01818181818181818
V,ii,30,0.011547344110854504,0.44175687045655015,0.06818181818181818
V,iii,20,0.007698229407236336,0.6790080892814392,0.045454545454545456
V,vi,20,0.007698229407236336,0.17476143661349086,0.045454545454545456
V,vi°,2,0.0007698229407236335,1.7941496799007592,0.004545454545454545
V,♭VII,2,0.0007698229407236335,-1.1762647856689417,0.004545454545454545
V,♯iii,1,0.00038491147036181676,1.7941496799007592,0.0022727272727272726
V6,I,6,0.0023094688221709007,-0.25621559769756763,0.21428571428571427
V6,II,2,0.0007698229407236335,0.2765889327871982,0.07142857142857142
V6,IV,2,0.0007698229407236335,-0.8009699466830792,0.07142857142857142
V6,V6,2,0.0007698229407236335,1.9141977221879949,0.07142857142857142
V6,vi7,16,0.006158583525789068,3.8293362125765547,0.5714285714285714
V7,I,10,0.003849114703618168,0.8787643351414169,0.7142857142857143
V7,I7,1,0.00038491147036181676,3.0979678191964113,0.07142857142857142
V7,III,1,0.00038491147036181676,1.2455837281519215,0.07142857142857142
V7,V,2,0.0007698229407236335,-0.22075334064150548,0.14285714285714285
VI,II,3,0.0011547344110854503,-0.12887617532096618,0.047619047619047616
VI,III,4,0.001539645881447267,1.1967935639824896,0.06349206349206349
VI,V,24,0.009237875288683603,0.8290687838571724,0.38095238095238093
VI,VI7,1,0.00038491147036181676,1.177375478125388,0.015873015873015872
VI,VII,8,0.003079291762894534,1.9716187755567023,0.12698412698412698
VI,i,1,0.00038491147036181676,-1.1849288495702799,0.015873015873015872
VI,vii,22,0.008468052347959968,3.5375304229409115,0.3492063492063492
VI7,II,8,0.003079291762894534,2.4301384466207563,0.6153846153846154
VI7,II7,2,0.0007698229407236335,4.627363023956976,0.15384615384615385
VI7,V,3,0.0011547344110854503,0.3278126111073323,0.23076923076923078
VII,IV,4,0.001539645881447267,-0.6257658576579885,0.08695652173913043
VII,VII,4,0.001539645881447267,1.571458719678231,0.08695652173913043
VII,i,29,0.011162432640492687,2.475354105097668,0.6304347826086957
VII,v,9,0.003464203233256351,4.035311960268399,0.1956521739130435
i,II,6,0.0023094688221709007,-0.21984795352669276,0.044444444444444446
i,III,36,0.013856812933025405,2.609899182553037,0.26666666666666666
i,IV,4,0.001539645881447267,-1.7028719411051345,0.02962962962962963
i,VI,13,0.0050038491147036184,1.3800205078912569,0.0962962962962963
i,VII,17,0.006543494996150885,1.9412716191674102,0.1259259259259259
i,i,46,0.01770592763664357,1.8595935881531431,0.34074074074074073
i,i7,2,0.0007698229407236335,2.5527407687130883,0.014814814814814815
i,iv,11,0.004234026173979984,2.7911517921580864,0.08148148148148149
i7,i,3,0.0011547344110854503,2.958205876821253,1.0
ii,I,21,0.008083140877598153,-0.4248383101333604,0.1810344827586207
ii,I6,3,0.0011547344110854503,1.832586386741832,0.02586206896551724
ii,IV,53,0.02040030792917629,1.0547891053779368,0.45689655172413796
ii,V,26,0.010007698229407237,0.2986560268158769,0.22413793103448276
ii,iv,2,0.0007698229407236335,1.2600671939705015,0.017241379310344827
ii,♭VII,11,0.004234026173979984,1.866202997540817,0.09482758620689655
iii,I,3,0.0011547344110854503,-1.7280321322556202,0.04918032786885246
iii,II,20,0.007698229407236336,1.8005046717831368,0.32786885245901637
iii,IV,23,0.008852963818321785,0.8627077346880179,0.3770491803278688
iii,V,7,0.0026943802925327174,-0.3708140352172386,0.11475409836065574
iii,ii,4,0.001539645881447267,0.4072898678186722,0.06557377049180328
iii,iii,3,0.0011547344110854503,0.7623241222999447,0.04918032786885246
iii,vi,1,0.00038491147036181676,-0.8405348190361133,0.01639344262295082
iv,III,7,0.0026943802925327174,3.334594720847908,0.5384615384615384
iv,V,2,0.0007698229407236335,-0.07765249700083209,0.15384615384615385
iv,i,4,0.001539645881447267,1.7795508804796067,0.3076923076923077
v,i,9,0.003464203233256351,2.958205876821253,1.0
vi,I,3,0.0011547344110854503,-2.2322787849235683,0.0297029702970297
vi,II,3,0.0011547344110854503,-0.6008619657706928,0.0297029702970297
vi,II7,1,0.00038491147036181676,1.8840446840173073,0.009900990099009901
vi,III,2,0.0007698229407236335,0.031660592972817626,0.019801980198019802
vi,IV,48,0.018475750577367205,1.094167876998811,0.4752475247524752
vi,V,29,0.011162432640492687,0.5463249930459739,0.2871287128712871
vi,V6,5,0.001924557351809084,1.5475724473960946,0.04950495049504951
vi,ii,8,0.003079291762894534,0.5961903957106693,0.07920792079207921
vi,vi,2,0.0007698229407236335,-0.6516342911441162,0.019801980198019802
vi7,I,16,0.006158583525789068,0.5603106040228824,0.48484848484848486
vi7,V,15,0.005773672055427252,1.005692319536489,0.45454545454545453
vi7,V6,2,0.0007698229407236335,1.7498946708967185,0.06060606060606061
vii,I,1,0.00038491147036181676,-2.011607422754748,0.037037037037037035
vii,V,21,0.008083140877598153,1.5428352516198534,0.7777777777777778
vii,VI,5,0.001924557351809084,2.0559258820166963,0.18518518518518517
vi°,♯vi,2,0.0007698229407236335,6.7868472733103475,1.0
♭II,i,6,0.0023094688221709007,2.958205876821253,1.0
♭III,V,3,0.0011547344110854503,1.7941496799007592,1.0
♭VII,I,8,0.003079291762894534,-0.29989066120022917,0.20512820512820512
♭VII,IV,27,0.010392609699769052,1.4703626028068622,0.6923076923076923
♭VII,vi,2,0.0007698229407236335,0.2999245795674968,0.05128205128205128
♭VII,♭VII,2,0.0007698229407236335,1.25148345027911,0.05128205128205128
♯iii,♯vi,1,0.00038491147036181676,6.7868472733103475,1.0
♯iv,V,6,0.0023094688221709007,1.7941496799007592,1.0
♯i°7,ii,5,0.001924557351809084,3.131869370872093,1.0
♯vi,IV,3,0.0011547344110854503,1.8380873829321795,1.0
